query-id	corpus-id	score
11	doc11	1
1068	doc1068	1
770	doc770	1
694	doc694	1
379	doc379	1
448	doc448	1
421	doc421	1
956	doc956	1
518	doc518	1
680	doc680	1
603	doc603	1
609	doc609	1
787	doc787	1
823	doc823	1
69	doc69	1
270	doc270	1
308	doc308	1
377	doc377	1
165	doc165	1
152	doc152	1
878	doc878	1
732	doc732	1
488	doc488	1
276	doc276	1
463	doc463	1
401	doc401	1
60	doc60	1
1056	doc1056	1
338	doc338	1
622	doc622	1
641	doc641	1
606	doc606	1
977	doc977	1
28	doc28	1
344	doc344	1
282	doc282	1
1077	doc1077	1
1078	doc1078	1
33	doc33	1
472	doc472	1
193	doc193	1
594	doc594	1
747	doc747	1
1043	doc1043	1
645	doc645	1
132	doc132	1
889	doc889	1
844	doc844	1
176	doc176	1
158	doc158	1
948	doc948	1
992	doc992	1
329	doc329	1
150	doc150	1
763	doc763	1
1042	doc1042	1
994	doc994	1
795	doc795	1
1080	doc1080	1
492	doc492	1
66	doc66	1
750	doc750	1
614	doc614	1
1064	doc1064	1
218	doc218	1
40	doc40	1
682	doc682	1
25	doc25	1
55	doc55	1
1045	doc1045	1
128	doc128	1
919	doc919	1
237	doc237	1
615	doc615	1
674	doc674	1
1058	doc1058	1
826	doc826	1
966	doc966	1
565	doc565	1
912	doc912	1
133	doc133	1
907	doc907	1
232	doc232	1
219	doc219	1
63	doc63	1
903	doc903	1
445	doc445	1
452	doc452	1
370	doc370	1
796	doc796	1
767	doc767	1
408	doc408	1
854	doc854	1
728	doc728	1
184	doc184	1
283	doc283	1
473	doc473	1
478	doc478	1
551	doc551	1
281	doc281	1
297	doc297	1
755	doc755	1
295	doc295	1
116	doc116	1
1087	doc1087	1
93	doc93	1
895	doc895	1
450	doc450	1
938	doc938	1
693	doc693	1
858	doc858	1
79	doc79	1
513	doc513	1
1071	doc1071	1
392	doc392	1
5	doc5	1
955	doc955	1
845	doc845	1
824	doc824	1
35	doc35	1
793	doc793	1
372	doc372	1
41	doc41	1
57	doc57	1
36	doc36	1
1001	doc1001	1
761	doc761	1
272	doc272	1
179	doc179	1
53	doc53	1
1016	doc1016	1
909	doc909	1
863	doc863	1
362	doc362	1
375	doc375	1
915	doc915	1
414	doc414	1
953	doc953	1
29	doc29	1
531	doc531	1
958	doc958	1
741	doc741	1
335	doc335	1
108	doc108	1
921	doc921	1
82	doc82	1
494	doc494	1
314	doc314	1
585	doc585	1
829	doc829	1
104	doc104	1
712	doc712	1
315	doc315	1
545	doc545	1
507	doc507	1
801	doc801	1
727	doc727	1
881	doc881	1
906	doc906	1
1038	doc1038	1
773	doc773	1
65	doc65	1
811	doc811	1
1079	doc1079	1
254	doc254	1
1051	doc1051	1
688	doc688	1
749	doc749	1
935	doc935	1
354	doc354	1
252	doc252	1
312	doc312	1
960	doc960	1
243	doc243	1
138	doc138	1
683	doc683	1
508	doc508	1
